bus,source,ROCOF_max,f_min
1,matlab_dynamic,0.1522935615,49.99943144
2,matlab_dynamic,0.1327692228,49.99936189
3,matlab_dynamic,0.1445274632,49.99918459
4,matlab_dynamic,0.04550628003,49.99905618
5,matlab_dynamic,0.09243316819,49.99918117
6,matlab_dynamic,0.1752862853,49.99943405
7,matlab_dynamic,0.1377125705,49.99932151
8,matlab_dynamic,0.1168789389,49.99961566
9,matlab_dynamic,0.1631029587,49.99925938
10,matlab_dynamic,0.1725267954,49.99928253
11,matlab_dynamic,0.1797397728,49.99935342
12,matlab_dynamic,0.1883378556,49.99937165
13,matlab_dynamic,0.190065565,49.99936657
14,matlab_dynamic,0.1874229747,49.99925449
1,matlab_probe,8.827188669,49.25147401
2,matlab_probe,0.09753522913,49.9910019
3,matlab_probe,0.05169492477,49.99940476
4,matlab_probe,0.03164805014,49.99694736
5,matlab_probe,0.07360724916,49.99323713
6,matlab_probe,0.0731235588,49.9932971
7,matlab_probe,0.04023688667,49.99700836
8,matlab_probe,0.03716038959,49.99722036
9,matlab_probe,0.04874423647,49.99690854
10,matlab_probe,0.05211327915,49.99633172
11,matlab_probe,0.05541302364,49.99489471
12,matlab_probe,0.07158058298,49.99343064
13,matlab_probe,0.06768494513,49.99378508
14,matlab_probe,0.057197565,49.99551974
1,python_probe_bus1,2.638126001,50
2,python_probe_bus1,2.728931844,49.61818813
3,python_probe_bus1,2.633405463,50
4,python_probe_bus1,5.622282428,50
5,python_probe_bus1,4.272988687,49.55187943
6,python_probe_bus1,3.847642566,50
7,python_probe_bus1,2.633405021,49.97737205
8,python_probe_bus1,2.633405021,50
9,python_probe_bus1,2.633405021,49.66611973
10,python_probe_bus1,2.633405021,50
11,python_probe_bus1,2.633405021,49.78079382
12,python_probe_bus1,2.633405021,50
13,python_probe_bus1,2.633405021,49.78079382
14,python_probe_bus1,2.633405021,50
